email,user_id,status,prefix,first_name,last_name,suffix,class_year,386566,386567,386568,386569,386571,386572,386576,386577,386578,386579,386581,386582,386584,386585,386586,386587,386588,386614,386655,386656,386657,386658,386659,386660,386975,394394
Alexis.Adams@modolabs.com,2025422,Pending,Mr.,Alexis,Adams,,1951,,1,,,1,,1,1,1,,,1,,1,1,1,,,,,,,,,,
Alexis.Akins@modolabs.com,2025719,Pending,Mr.,Alexis,Akins,,1951,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,,1,,
Alexis.Amjad@modolabs.com,2026557,Pending,Professor,Alexis,Amjad,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,,1,,
Alexis.Bailey@modolabs.com,2027557,Pending,Mr.,Alexis,Bailey,,1951,1,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,,,
Alexis.Cabot@modolabs.com,2027881,Pending,Dr.,Alexis,Cabot,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,1,,,
Alexis.Chisholm@modolabs.com,2028687,Pending,Col.,Alexis,Chisholm,,1951,1,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,1,,,1,1,,
Alexis.Currier@modolabs.com,2030340,Pending,Mr.,Alexis,Currier,Jr.,1951,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,,,,
Alexis.Dunster@modolabs.com,2031147,Pending,Dr.,Alexis,Dunster,,1951,1,,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,,1,,,
Alexis.Ellwood@modolabs.com,2038066,Pending,Dr.,Alexis,Ellwood,,1951,,,1,1,,,,,1,,1,1,,,1,1,,,,,,,,,,
Alexis.Huang@modolabs.com,2043568,Pending,Dr,Alexis,Huang,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,,1,,
Alexis.Kim@modolabs.com,2047919,Pending,Mr.,Alexis,Kim,,1951,1,1,,,1,1,1,1,1,,,1,,1,1,1,,,,,,,,,,
Alexis.Kirkland@modolabs.com,2048670,Pending,Ms.,Alexis,Kirkland,,1951,1,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,1,,
Alexis.Lee@modolabs.com,2048764,Pending,Mr.,Alexis,Lee,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,,1,,,
Alexis.Leverett@modolabs.com,2048774,Pending,Mr.,Alexis,Leverett,,1951,1,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,,,
Alexis.Lowell@modolabs.com,2048811,Pending,Mr.,Alexis,Lowell,,1951,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,,,,,,1,,,,
Alexis.Mallon@modolabs.com,2048853,Pending,The Rev.,Alexis,Mallon,,1951,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Alexis.Mather@modolabs.com,2048905,Pending,Mr.,Alexis,Mather,,1951,,,,,1,,,,,,,,,,,,,,,,,,,,,
Alexis.Moreland@modolabs.com,2049037,Pending,,Alexis,Moreland,,1951,1,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,,,
Alexis.Nagatoshi@modolabs.com,2049051,Pending,Mr.,Alexis,Nagatoshi,,1951,,1,,,1,1,1,,1,,1,1,,1,1,1,,,,,,,1,,,
Alexis.North@modolabs.com,2049066,Pending,Mr.,Alexis,North,III,1951,,,,,1,1,1,,,,1,1,,,,,,,,,,,,,,
Alexis.Ormsbee@modolabs.com,2049301,Pending,Mr.,Alexis,Ormsbee,Jr.,1951,,,,,,,1,,,,,,,,,,,,,,,,,,,
Alexis.Patt@modolabs.com,2049324,Pending,Mr.,Alexis,Patt,,1951,,,,,1,,,,,,,,,,,,,,,,,,,,,
Alexis.Pforzheimer@modolabs.com,2050757,Pending,,Alexis,Pforzheimer,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,,,
Alexis.Quincy@modolabs.com,2052373,Pending,Mr.,Alexis,Quincy,Jr.,1951,,1,,,1,1,1,1,1,,1,1,,,1,1,,,,,,,1,,,
Alexis.Smith@modolabs.com,2052399,Pending,,Alexis,Smith,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,,1,,,
Alexis.Swamy@modolabs.com,2052442,Pending,,Alexis,Swamy,,1951,,1,,,1,1,1,,1,,1,1,,1,1,1,,,,,,1,1,,,
Alexis.Tepfenhart@modolabs.com,2052455,Pending,,Alexis,Tepfenhart,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,1,,,
Alexis.Winthrop@modolabs.com,2052693,Pending,Dr.,Alexis,Winthrop,,1951,,1,,,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,,,
modo.dsmith@gmail.com,2023924,Pending,Dr.,Dan,Smith,,1951,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,1,,1,1,1,,
