email,user_id,status,prefix,first_name,last_name,suffix,class_year,393928,393929,393930,393933,393934,393935,393936,393937,393938,393939,393940,393943,393946,393949,393950,394103
Alexis.Adams@modolabs.com,2047799,Pending,Dr.,Alexis,Adams,,1956,,1,,,,,,1,,,,,,,,1
Alexis.Akins@modolabs.com,2048948,Pending,Mr.,Alexis,Akins,,1956,,1,,,,,,1,1,1,,,,,,1
Alexis.Amjad@modolabs.com,2049629,Pending,,Alexis,Amjad,,1956,,,,,1,1,,1,,,,,,1,,1
Alexis.Bailey@modolabs.com,2049715,Pending,Dr.,Alexis,Bailey,Dr.,1956,,1,,,,,,1,1,1,,,,,,1
Alexis.Cabot@modolabs.com,2051324,Pending,Mr.,Alexis,Cabot,,1956,,,,1,,1,,1,1,1,,,,,,1
Alexis.Chisholm@modolabs.com,2052512,Pending,Dr.,Alexis,Chisholm,,1956,,1,,,,,,,,,,,,,,1
Alexis.Currier@modolabs.com,2052527,Pending,Prof.,Alexis,Currier,,1956,,,,1,1,,,,,,,,,1,1,1
Alexis.Dunster@modolabs.com,2052537,Pending,Mr.,Alexis,Dunster,,1956,,1,,,,,,,1,,,,,,,1
Alexis.Ellwood@modolabs.com,2052553,Pending,Mr.,Alexis,Ellwood,,1956,,,,1,1,1,,,,,,,,1,,1
Alexis.Huang@modolabs.com,2052559,Pending,Dr.,Alexis,Huang,,1956,,1,,,,,,,,,,,,,,1
Alexis.Jones@modolabs.com,2052563,Pending,Mr.,Alexis,Jones,,1956,,1,,,,,,,,,,,,,,1
Alexis.Kim@modolabs.com,2052569,Pending,Dr.,Alexis,Kim,,1956,,1,,,,,,,,,,,,,,1
Alexis.Kirkland@modolabs.com,2052570,Pending,Mr.,Alexis,Kirkland,,1956,,,,1,1,1,,,,,,,,1,,1
Alexis.Lee@modolabs.com,2052575,Pending,Dr.,Alexis,Lee,,1956,,1,,,,,,,,,,,,,,1
Alexis.Leverett@modolabs.com,2052580,Pending,Mr.,Alexis,Leverett,,1956,,,,1,1,1,,,,,,,,1,,1
Alexis.Lowell@modolabs.com,2052582,Pending,Dr.,Alexis,Lowell,,1956,,,,,1,,,,,,,,,1,,1
Alexis.Mallon@modolabs.com,2053270,Pending,Mr.,Alexis,Mallon,,1956,,1,,,,,,,1,1,,,,,,1
Alexis.Mather@modolabs.com,2053658,Pending,Mr.,Alexis,Mather,,1956,,1,,,,,,1,1,1,1,,,,,1
modo.dpark@gmail.com,2054434,Pending,Mr.,Dana,Park,,1956,,1,,,,,,1,1,1,,,,,,1
