email,user_id,status,prefix,first_name,last_name,suffix,class_year,385611,385612,385613,385614,385615,385617,385618,385619,385620,385621,385622,385623,385624,385625,385626,385627,385628,385629,385630,385631,385632,385643,385644,385645,385646,385647,387560,387620,387627,387628,387629,387630,hr61-10,hr61-11,hr61-12,hr61-13,hr61-14,hr61-15,hr61-16,hr61-17,hr61-18,hr61-19,hr61-20,hr61-21,hr61-22,hr61-23,hr61-24,hr61-25,hr61-26,hr61-27,hr61-28,hr61-29,hr61-3,hr61-30,hr61-31,hr61-32,hr61-33,hr61-34,hr61-36,hr61-4,hr61-5,hr61-6,hr61-7,hr61-8,hr61-9
Alexis.Akins@modolabs.com,2033055,Pending,Mr.,Alexis,Akins,,1961,,,,1,,1,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Amjad@modolabs.com,2033910,Pending,Dr.,Alexis,Amjad,,1961,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Bailey@modolabs.com,2034258,Pending,Mr.,Alexis,Bailey,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Cabot@modolabs.com,2034266,Pending,Dr.,Alexis,Cabot,,1961,,,,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Chisholm@modolabs.com,2034344,Pending,Mr.,Alexis,Chisholm,,1961,,1,,1,,,1,,,,,,,,1,,1,,,1,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,1,1,1
Alexis.Dunster@modolabs.com,2035006,Pending,Ms.,Alexis,Dunster,,1961,,,,1,,1,1,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2035359,Pending,Mr.,Alexis,Ellwood,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Huang@modolabs.com,2035636,Pending,Mr.,Alexis,Huang,,1961,,,,1,,,1,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Jones@modolabs.com,2035641,Pending,Mr.,Alexis,Jones,,1961,,,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,,,,,1,1,1
Alexis.Kim@modolabs.com,2035991,Pending,Dr.,Alexis,Kim,,1961,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lee@modolabs.com,2036043,Pending,Ms.,Alexis,Lee,,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Leverett@modolabs.com,2036226,Pending,Mr.,Alexis,Leverett,,1961,,,1,1,,,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lowell@modolabs.com,2036377,Pending,Mr.,Alexis,Lowell,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mallon@modolabs.com,2036475,Pending,Prof.,Alexis,Mallon,,1961,,,,1,,1,1,,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mather@modolabs.com,2036555,Pending,Mr.,Alexis,Mather,,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Moreland@modolabs.com,2036816,Pending,Mr.,Alexis,Moreland,,1961,,,,1,,1,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Nagatoshi@modolabs.com,2036908,Pending,Mr.,Alexis,Nagatoshi,,1961,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.North@modolabs.com,2036931,Pending,Mr.,Alexis,North,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ormsbee@modolabs.com,2036936,Pending,Dr.,Alexis,Ormsbee,,1961,,,1,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Patt@modolabs.com,2036947,Pending,Dr.,Alexis,Patt,,1961,,,1,1,,,1,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Pforzheimer@modolabs.com,2036954,Pending,Prof.,Alexis,Pforzheimer,,1961,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,1,1,1,1,1
Alexis.Quincy@modolabs.com,2037041,Pending,Mr.,Alexis,Quincy,,1961,,,1,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Smith@modolabs.com,2037049,Pending,Mr.,Alexis,Smith,Jr.,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Swamy@modolabs.com,2037082,Pending,Dr.,Alexis,Swamy,,1961,,,,1,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Tepfenhart@modolabs.com,2037164,Pending,Mr.,Alexis,Tepfenhart,,1961,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Winthrop@modolabs.com,2037196,Pending,Mr.,Alexis,Winthrop,,1961,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,1,1,,,
Alexis.Yu@modolabs.com,2037244,Pending,Mr.,Alexis,Yu,,1961,,,1,1,,1,1,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Adams@modolabs.com,2037290,Pending,Dr.,Andrew,Adams,,1961,,,,1,,,,,1,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Amjad@modolabs.com,2037372,Pending,Mr.,Andrew,Amjad,,1961,,,1,1,,1,1,,,,,,,,,,1,1,1,1,,,,,,,,,,1,,1,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,,,,,,,
Andrew.Bailey@modolabs.com,2037767,Pending,Dr.,Andrew,Bailey,,1961,,,1,1,,1,1,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Chisholm@modolabs.com,2037828,Pending,Dr.,Andrew,Chisholm,,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Currier@modolabs.com,2038108,Pending,Mr.,Andrew,Currier,,1961,,,1,1,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,,,,,1,1,1
Andrew.Dunster@modolabs.com,2038381,Pending,Mr.,Andrew,Dunster,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ellwood@modolabs.com,2038772,Pending,Ms.,Andrew,Ellwood,,1961,,,,1,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Huang@modolabs.com,2038872,Pending,,Andrew,Huang,,1961,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Jones@modolabs.com,2038888,Pending,Dr.,Andrew,Jones,,1961,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,,,,,,,
Andrew.Kim@modolabs.com,2038900,Pending,Dr.,Andrew,Kim,,1961,,,,1,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Kirkland@modolabs.com,2038941,Pending,Mr.,Andrew,Kirkland,Jr.,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Lee@modolabs.com,2039313,Pending,Mr.,Andrew,Lee,,1961,,,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Leverett@modolabs.com,2039328,Pending,Mr.,Andrew,Leverett,Jr.,1961,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Lowell@modolabs.com,2039331,Pending,Mr.,Andrew,Lowell,,1961,,,,1,,,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Mallon@modolabs.com,2039338,Pending,Dr.,Andrew,Mallon,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Mather@modolabs.com,2039347,Pending,Mr.,Andrew,Mather,,1961,,,,1,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Moreland@modolabs.com,2039359,Pending,Dr.,Andrew,Moreland,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Nagatoshi@modolabs.com,2039361,Pending,Mr.,Andrew,Nagatoshi,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.North@modolabs.com,2039375,Pending,Ms.,Andrew,North,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ormsbee@modolabs.com,2039417,Pending,Mrs.,Andrew,Ormsbee,,1961,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Patt@modolabs.com,2039472,Pending,Mr.,Andrew,Patt,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Pforzheimer@modolabs.com,2039561,Pending,Mr.,Andrew,Pforzheimer,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Quincy@modolabs.com,2039590,Pending,Mr.,Andrew,Quincy,Jr.,1961,,,,1,,,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
