email,user_id,status,prefix,first_name,last_name,suffix,class_year,404710,404711,404712,404715,404716,404717,404718,404719,404720,404721,404722,404725,404731,404732,404738,404742,404743,404744,hr66-0,hr66-1,hr66-11,hr66-12,hr66-13,hr66-14,hr66-15,hr66-16,hr66-17,hr66-2,hr66-3,hr66-4,hr66-5,hr66-6,hr66-7,hr66-8,hr66-9
Alexis.Adams@modolabs.com,2137231,Pending,Mr.,Alexis,Adams,Jr.,1966,,1,,,,1,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Akins@modolabs.com,2141443,Pending,Mr.,Alexis,Akins,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Amjad@modolabs.com,2141731,Pending,Ms.,Alexis,Amjad,,1966,,,,1,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,,,,,1,1,1,1
Alexis.Bailey@modolabs.com,2143052,Pending,Mr.,Alexis,Bailey,,1966,,,,1,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,1,1,,,,,1,1,1,1
Alexis.Cabot@modolabs.com,2143647,Pending,Mr.,Alexis,Cabot,,1966,,1,,,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Chisholm@modolabs.com,2143787,Pending,Mr.,Alexis,Chisholm,,1966,,1,,,,1,,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Currier@modolabs.com,2143827,Pending,Mr.,Alexis,Currier,,1966,,1,,,,1,,1,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Dunster@modolabs.com,2143895,Pending,Mr.,Alexis,Dunster,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2143942,Pending,Dr.,Alexis,Ellwood,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Huang@modolabs.com,2144211,Pending,Mr.,Alexis,Huang,,1966,,1,,1,1,1,,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
