email,user_id,status,prefix,first_name,last_name,suffix,class_year,403431,403432,403433,403434,403435,403436,403437,403438,403439,403440,403441,403442,403443,403444,403445,403446,403447,403449,hr71-11,hr71-12,hr71-13,hr71-14,hr71-15,hr71-16,hr71-17,hr71-2,hr71-3,hr71-4,hr71-5,hr71-6,hr71-7,hr71-8,hr71-9
Alexis.Adams@modolabs.com,2137042,Pending,Ms.,Alexis,Adams,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Akins@modolabs.com,2137566,Pending,Mr.,Alexis,Akins,,1971,,,1,1,1,1,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Amjad@modolabs.com,2137572,Pending,Mr.,Alexis,Amjad,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Bailey@modolabs.com,2137755,Pending,Mr.,Alexis,Bailey,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Cabot@modolabs.com,2138160,Pending,Mr.,Alexis,Cabot,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Chisholm@modolabs.com,2138466,Pending,Ms.,Alexis,Chisholm,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Currier@modolabs.com,2138479,Pending,Mr.,Alexis,Currier,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Dunster@modolabs.com,2138701,Pending,Dr.,Alexis,Dunster,,1971,,,1,1,,,1,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2138841,Pending,Mr.,Alexis,Ellwood,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Huang@modolabs.com,2138843,Pending,Dr.,Alexis,Huang,,1971,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Alexis.Jones@modolabs.com,2140483,Pending,Mr.,Alexis,Jones,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Kim@modolabs.com,2140625,Pending,Dr.,Alexis,Kim,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Kirkland@modolabs.com,2140785,Pending,Mr.,Alexis,Kirkland,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lee@modolabs.com,2140809,Pending,Dr.,Alexis,Lee,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Leverett@modolabs.com,2140876,Pending,,Alexis,Leverett,,1971,,,1,1,1,1,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lowell@modolabs.com,2140970,Pending,Rev.,Alexis,Lowell,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mallon@modolabs.com,2141086,Pending,Mr.,Alexis,Mallon,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mather@modolabs.com,2141337,Pending,Mr.,Alexis,Mather,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Moreland@modolabs.com,2141431,Pending,Mr.,Alexis,Moreland,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Nagatoshi@modolabs.com,2141547,Pending,Dr.,Alexis,Nagatoshi,Jr.,1971,,,1,1,1,,1,,1,1,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.North@modolabs.com,2141708,Pending,Mr.,Alexis,North,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ormsbee@modolabs.com,2141710,Pending,Ms.,Alexis,Ormsbee,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Patt@modolabs.com,2141713,Pending,Ms.,Alexis,Patt,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Pforzheimer@modolabs.com,2141715,Pending,Mr.,Alexis,Pforzheimer,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
