email,user_id,status,prefix,first_name,last_name,suffix,class_year,387927,387928,387929,387930,387931,387933,387934,387935,387936,387937,387938,387939,387940,387941,387942,387943,387944,387946,387949,387950,387951,387954,387955,387956,387964,387965,387966,387967,387968,387969,387970,387971,387972,387973,387974,387975,387976,387978,387979,387982,387983,387984,387985,387986,387988,387989,387990,387991,387992,387993,387994,387995,388004,388010,388011,388012,388013,388017,388019,392349,hr76-10,hr76-11,hr76-12,hr76-13,hr76-14,hr76-15,hr76-16,hr76-17,hr76-18,hr76-19,hr76-2,hr76-20,hr76-21,hr76-22,hr76-23,hr76-24,hr76-26,hr76-27,hr76-28,hr76-3,hr76-4,hr76-5,hr76-6,hr76-7,hr76-8,hr76-9
Alexis.Adams@modolabs.com,2042389,Pending,Mr.,Alexis,Adams,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Akins@modolabs.com,2043084,Pending,Dr.,Alexis,Akins,,1976,1,,,,,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,
Alexis.Amjad@modolabs.com,2044188,Pending,Dr.,Alexis,Amjad,,1976,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,1,,,,1,1,1,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,
Alexis.Bailey@modolabs.com,2045541,Pending,Dr.,Alexis,Bailey,,1976,1,,,1,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,
Alexis.Cabot@modolabs.com,2046363,Pending,Mr.,Alexis,Cabot,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Chisholm@modolabs.com,2047140,Pending,Mr.,Alexis,Chisholm,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis.Currier@modolabs.com,2047218,Pending,Mr.,Alexis,Currier,,1976,,1,,1,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,,
Alexis.Dunster@modolabs.com,2047878,Pending,Ms.,Alexis,Dunster,,1976,1,,,,,1,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2048242,Pending,Mr.,Alexis,Ellwood,,1976,,,,,,,,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Huang@modolabs.com,2049850,Pending,Mr.,Alexis,Huang,,1976,1,1,,,,1,1,1,1,1,,1,,,,1,,1,,1,1,,,,,,,,1,,,,,,1,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
