email,user_id,status,prefix,first_name,last_name,suffix,class_year,403093,403094,403095,403096,403098,403100,403101,403102,403105,403106,403107,403108,403109,403110,403228,403229,403230,403234,403430,405742,hr81-10,hr81-11,hr81-13,hr81-14,hr81-17,hr81-18,hr81-19,hr81-20,hr81-3,hr81-5,hr81-6,hr81-7,hr81-8,hr81-9
Alexis.Adams@modolabs.com,2137121,Pending,Mr.,Alexis,Adams,,1981,1,,,1,1,,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Akins@modolabs.com,2137724,Pending,Mr.,Alexis,Akins,,1981,1,,,1,1,,1,,,1,,,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Amjad@modolabs.com,2140803,Pending,Mr.,Alexis,Amjad,,1981,,,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Alexis.Bailey@modolabs.com,2141103,Pending,Mr.,Alexis,Bailey,,1981,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Alexis.Cabot@modolabs.com,2141114,Pending,Mr.,Alexis,Cabot,,1981,,,,,1,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
Alexis.Chisholm@modolabs.com,2141461,Pending,Mr.,Alexis,Chisholm,,1981,1,,,1,1,,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Currier@modolabs.com,2141922,Pending,Mr.,Alexis,Currier,,1981,1,,,1,1,,1,,1,1,,,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Dunster@modolabs.com,2141951,Pending,Mr.,Alexis,Dunster,,1981,1,,,1,1,,,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2142036,Pending,Mr.,Alexis,Ellwood,,1981,,,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Alexis.Huang@modolabs.com,2142118,Pending,Ms.,Alexis,Huang,,1981,1,,,1,1,,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Jones@modolabs.com,2142132,Pending,Mr.,Alexis,Jones,,1981,,,,1,1,1,1,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,
Alexis.Kim@modolabs.com,2142175,Pending,,Alexis,Kim,,1981,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Alexis.Kirkland@modolabs.com,2142179,Pending,Mr.,Alexis,Kirkland,,1981,1,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lee@modolabs.com,2142471,Pending,Mr.,Alexis,Lee,,1981,1,,,1,1,,1,,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Leverett@modolabs.com,2142557,Pending,,Alexis,Leverett,,1981,1,,,1,1,,1,,,1,,,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lowell@modolabs.com,2142591,Pending,Mrs.,Alexis,Lowell,,1981,1,,,1,1,,1,,,1,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Bailey@modolabs.com,2142818,Pending,Mr.,Andrew,Bailey,,1981,1,,,1,1,,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Cabot@modolabs.com,2142889,Pending,Mr.,Andrew,Cabot,,1981,1,,,1,1,,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Chisholm@modolabs.com,2143061,Pending,Ms.,Andrew,Chisholm,,1981,1,,,1,1,,,,,1,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Currier@modolabs.com,2143062,Pending,Dr.,Andrew,Currier,,1981,1,,,1,1,,1,,,1,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ellwood@modolabs.com,2143297,Pending,Ms.,Andrew,Ellwood,,1981,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Andrew.Huang@modolabs.com,2143990,Pending,Ms.,Andrew,Huang,,1981,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Andrew.Jones@modolabs.com,2144168,Pending,Mrs.,Andrew,Jones,,1981,,,,,,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,
Andrew.Kim@modolabs.com,2144438,Pending,Ms.,Andrew,Kim,,1981,1,,,1,1,1,1,,1,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Kirkland@modolabs.com,2144549,Pending,,Andrew,Kirkland,,1981,1,,,1,1,,1,1,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Lee@modolabs.com,2144630,Pending,Mr.,Andrew,Lee,,1981,1,,,1,1,,1,,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Leverett@modolabs.com,2144703,Pending,Mr.,Andrew,Leverett,,1981,,,,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Andrew.Lowell@modolabs.com,2144712,Pending,Mr.,Andrew,Lowell,,1981,1,,,1,1,,1,,1,1,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
