email,user_id,status,prefix,first_name,last_name,suffix,class_year,387650,387651,387652,387653,387654,387655,387657,387658,387659,387660,387661,387662,387663,387664,387665,387667,387668,387669,387670,387671,387672,387673,387674,387675,387681,387682,387683,387685,387687,387688,387689,387690,387691,387692,387693,387694,387695,387696,387697,387698,387699,387700,387701,387702,387703,387704,387705,387706,387707,387709,387710,387711,387712,387715,387716,387717,387718,387719,387736,387757,387759,387773,387774,387775,387776,387778,387782,387790,387857,388040,392348,393885,393886,hr86-10,hr86-11,hr86-13,hr86-14,hr86-15,hr86-17,hr86-18,hr86-19,hr86-20,hr86-21,hr86-22,hr86-23,hr86-24,hr86-25,hr86-26,hr86-28,hr86-30,hr86-31,hr86-33,hr86-34,hr86-35,hr86-36,hr86-37,hr86-38,hr86-39,hr86-5,hr86-7,hr86-8,hr86-9
Alexis.Adams@modolabs.com,2041228,Pending,Mr.,Alexis,Adams,,1986,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Akins@modolabs.com,2041498,Pending,Mr.,Alexis,Akins,,1986,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Amjad@modolabs.com,2041502,Pending,Mr.,Alexis,Amjad,,1986,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,1,1,,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Bailey@modolabs.com,2041524,Pending,,Alexis,Bailey,,1986,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,1,1,,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Cabot@modolabs.com,2041535,Pending,Mr.,Alexis,Cabot,,1986,,1,1,1,,,,,,,,,,1,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,,,1,1,1,,,,,,,,1,,,,1,1,,,,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,
Alexis.Chisholm@modolabs.com,2041655,Pending,Mr.,Alexis,Chisholm,,1986,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Currier@modolabs.com,2041701,Pending,Dr.,Alexis,Currier,,1986,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Alexis.Dunster@modolabs.com,2041725,Pending,Mrs.,Alexis,Dunster,,1986,,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ellwood@modolabs.com,2041757,Pending,Mr.,Alexis,Ellwood,,1986,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Alexis.Huang@modolabs.com,2041928,Pending,Mr.,Alexis,Huang,,1986,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
