email,user_id,status,prefix,first_name,last_name,suffix,class_year,391673,391674,391675,391676,391677,391678,391679,391681,391683,391684,391685,391686,391687,391688,391689,391690,391691,391692,391693,391694,391695,391696,391708,391709,391798,391800,391837,391838,391852,391853,392178,392529,392635,392649,h01-1,h01-2,h01-3
alexis.adams@modolabs.com,testID0,Pending,,Alexis,Adams,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.akins@modolabs.com,testID1,Pending,,Alexis,Akins,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.amjad@modolabs.com,testID2,Pending,,Alexis,Amjad,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.bailey@modolabs.com,testID3,Pending,,Alexis,Bailey,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.cabot@modolabs.com,testID4,Pending,,Alexis,Cabot,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.chisholm@modolabs.com,testID5,Pending,,Alexis,Chisholm,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.currier@modolabs.com,testID6,Pending,,Alexis,Currier,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.dunster@modolabs.com,testID7,Pending,,Alexis,Dunster,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.ellwood@modolabs.com,testID8,Pending,,Alexis,Ellwood,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.huang@modolabs.com,testID9,Pending,,Alexis,Huang,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.jones@modolabs.com,testID10,Pending,,Alexis,Jones,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.kim@modolabs.com,testID11,Pending,,Alexis,Kim,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.kirkland@modolabs.com,testID12,Pending,,Alexis,Kirkland,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.lee@modolabs.com,testID13,Pending,,Alexis,Lee,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.leverett@modolabs.com,testID14,Pending,,Alexis,Leverett,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.lowell@modolabs.com,testID15,Pending,,Alexis,Lowell,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.mallon@modolabs.com,testID16,Pending,,Alexis,Mallon,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.mather@modolabs.com,testID17,Pending,,Alexis,Mather,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.moreland@modolabs.com,testID18,Pending,,Alexis,Moreland,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.nagatoshi@modolabs.com,testID19,Pending,,Alexis,Nagatoshi,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.north@modolabs.com,testID20,Pending,,Alexis,North,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.ormsbee@modolabs.com,testID21,Pending,,Alexis,Ormsbee,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.patt@modolabs.com,testID22,Pending,,Alexis,Patt,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.pforzheimer@modolabs.com,testID23,Pending,,Alexis,Pforzheimer,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.quincy@modolabs.com,testID24,Pending,,Alexis,Quincy,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.smith@modolabs.com,testID25,Pending,,Alexis,Smith,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.swamy@modolabs.com,testID26,Pending,,Alexis,Swamy,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.tepfenhart@modolabs.com,testID27,Pending,,Alexis,Tepfenhart,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.winthrop@modolabs.com,testID28,Pending,,Alexis,Winthrop,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexis.yu@modolabs.com,testID29,Pending,,Alexis,Yu,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew.adams@modolabs.com,testID30,Pending,,Andrew,Adams,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew.akins@modolabs.com,testID31,Pending,,Andrew,Akins,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew.amjad@modolabs.com,testID32,Pending,,Andrew,Amjad,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew.bailey@modolabs.com,testID33,Pending,,Andrew,Bailey,,testnames.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
